    [1187.95727539 1205.21960449]
    [1180.13415527 1020.95422363]
    [1172.30212402  836.47595215]
    [1164.46069336  651.77893066]
    [1215.03027344  648.65057373]
    [1326.03161621  643.99212646]
    [1362.48486328  846.77038574]
    [1398.07397461 1048.99499512]
    [1405.34692383 1090.32189941]
    [1420.05285645 1173.88354492]
    [1364.89501953 1138.96374512]
    [1113.85192871  652.89678955]
    [1003.27276611  657.53753662]
    [928.72467041 796.05786133]
    [867.24310303 906.73071289]
    [855.9901123  926.98724365]
    [834.41265869 965.82879639]
    [881.08178711 955.44537354]
    [1288.89050293 1201.48742676]
    [1308.02990723 1653.58422852]
    [1325.48144531 2056.73242188]
    [1371.43615723 2356.1105957 ]
    [1087.20690918 1208.94506836]
    [1106.54394531 1660.2154541 ]
    [1123.88256836 2062.63696289]
    [1144.92211914 2362.13330078]
    [1157.96374512  553.18725586]
    [1159.29284668  518.7210083 ]
    [1185.68078613  495.94241333]
    [1233.30529785  514.10339355]
    [1145.50671387  495.0020752 ]
    [1124.85864258  510.95019531]
    [1317.94018555 2100.73217773]
    [1123.43640137 2106.35229492]
    [1227.30822754 1243.21398926]
    [1217.82519531 1044.48413086]
    [1208.4630127  848.421875 ]
    [1199.22546387  654.97290039]
    [1251.1895752   651.74517822]
    [1364.2019043  647.0010376]
    [1431.23486328  839.18444824]
    [1497.73718262 1033.77172852]
    [1511.44360352 1073.87695312]
    [1539.27905273 1155.32434082]
    [1480.92333984 1129.15332031]
    [1147.04162598  656.11724854]
    [1032.93457031  660.9072876 ]
    [909.61798096 769.37194824]
    [805.80853271 855.92279053]
    [786.63104248 871.91192627]
    [749.703125   902.70050049]
    [799.62054443 899.33068848]
    [1333.08203125 1237.39282227]
    [1357.88916016 1733.91503906]
    [1380.55480957 2188.20947266]
    [1444.77722168 2537.31616211]
    [1121.03649902 1249.06262207]
    [1142.66333008 1748.140625  ]
    [1162.44091797 2204.83544922]
    [1196.33947754 2558.21142578]
    [1194.60791016  554.22546387]
    [1196.01135254  517.86169434]
    [1223.09216309  492.76119995]
    [1270.78869629  509.20172119]
    [1179.99035645  491.4571228 ]
    [1154.9934082  505.1524353]
    [1369.82373047 2237.85009766]
    [1159.33239746 2254.12329102]
    [1216.18103027 1034.66699219]
    [1212.50756836  890.89471436]
    [1209.25610352  753.72717285]
    [1206.15063477  622.71942139]
    [1242.26013184  621.64001465]
    [1359.57373047  620.39465332]
    [1487.27905273  781.02886963]
    [1614.50622559  941.83898926]
    [1640.58032227  974.79559326]
